Mon May 07 12:31:58 UTC 2018: Starting
Mon May 07 12:31:58 UTC 2018: Database:jdbc:mysql://localhost:3306/unittests_all
Mon May 07 12:32:05 UTC 2018: Queue filled without report
Mon May 07 12:32:06 UTC 2018: Working on HubSpot__hbase

Mon May 07 12:32:06 UTC 2018: Reading project report
Mon May 07 12:32:37 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//HubSpot__hbase/ - org.apache.hadoop.hbase.mapred - TestTableMapReduce
Mon May 07 12:33:42 UTC 2018: Reading project report done
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
Mon May 07 12:33:43 UTC 2018: Adding test in queue
